gx,gy,gz,wx,wy,wz
-0.071759,0.996753,-0.036711,-0.005859,0.011719,-0.326172
-0.074949,0.996507,-0.036581,-0.007812,0.003906,-0.335938
-0.078439,0.996266,-0.036586,-0.007812,-0.003906,-0.351562
-0.081901,0.995939,-0.036426,-0.003906,-0.009766,-0.363281
-0.085581,0.995643,-0.036443,-0.005859,-0.013672,-0.369141
-0.089234,0.995377,-0.036425,-0.007812,-0.013672,-0.376953
-0.093051,0.994980,-0.036242,-0.003906,-0.013672,-0.378906
-0.096724,0.994615,-0.036238,0.001953,-0.013672,-0.375000
-0.100402,0.994291,-0.036281,-0.005859,-0.015625,-0.373047
-0.104111,0.993938,-0.036120,-0.009766,-0.013672,-0.369141
-0.107674,0.993501,-0.036004,-0.007812,-0.011719,-0.363281
-0.111217,0.993143,-0.035895,-0.005859,-0.009766,-0.355469
-0.114613,0.992701,-0.035832,-0.005859,-0.013672,-0.347656
-0.117988,0.992340,-0.035774,0.001953,-0.015625,-0.339844
-0.121303,0.991915,-0.035760,0.000000,-0.019531,-0.332031
-0.124597,0.991571,-0.035752,-0.001953,-0.015625,-0.328125
-0.127825,0.991116,-0.035748,-0.005859,-0.017578,-0.324219
-0.131003,0.990663,-0.035578,-0.003906,-0.015625,-0.326172
-0.134296,0.990303,-0.035585,-0.001953,-0.013672,-0.330078
-0.137502,0.989918,-0.035597,-0.001953,-0.011719,-0.330078
-0.140727,0.989443,-0.035614,-0.001953,-0.005859,-0.332031
-0.143982,0.988939,-0.035427,-0.003906,-0.003906,-0.337891
-0.147364,0.988393,-0.035381,-0.005859,0.000000,-0.341797
-0.150647,0.987958,-0.035377,-0.001953,0.005859,-0.341797
-0.153941,0.987383,-0.035343,-0.003906,0.009766,-0.345703
-0.157381,0.986877,-0.035280,-0.005859,0.009766,-0.345703
-0.160759,0.986309,-0.035259,-0.007812,0.009766,-0.347656
-0.164197,0.985790,-0.035209,-0.001953,0.009766,-0.347656
-0.167683,0.985259,-0.035338,0.000000,0.009766,-0.347656
-0.171058,0.984673,-0.035336,-0.001953,0.005859,-0.347656
-0.174432,0.984082,-0.035340,-0.001953,0.007812,-0.351562
-0.177767,0.983358,-0.035145,-0.001953,0.009766,-0.349609
-0.181217,0.982723,-0.035128,-0.003906,0.013672,-0.355469
-0.184698,0.982162,-0.035291,-0.001953,0.011719,-0.359375
